"","V1","V2","V3"
"247","1.44600","0.12072","0.00029"
"248","1.45200","0.12119","0.00026"
"249","1.45800","0.12173","0.00037"
"250","1.46400","0.12221","0.00052"
"251","1.47000","0.12269","0.00066"
"252","1.47600","0.12323","0.00075"
"253","1.48200","0.12370","0.00079"
"254","1.48800","0.12418","0.00083"
"255","1.49400","0.12466","0.00080"
"256","1.50000","0.12520","0.00060"
"257","1.50600","0.12568","0.00049"
"258","1.51200","0.12622","0.00050"
"259","1.51800","0.12669","0.00044"
"260","1.52400","0.12717","0.00024"
"261","1.53000","0.12771","0.00026"
"262","1.53600","0.12819","0.00037"
"263","1.54200","0.12867","0.00044"
"264","1.54800","0.12921","0.00056"
"265","1.55400","0.12968","0.00051"
"266","1.56000","0.13016","0.00048"
"267","1.56600","0.13064","0.00035"
"268","1.57200","0.13118","0.00015"
"269","1.57800","0.13166","0.00001"
"270","1.58400","0.13219","-0.00002"
"271","1.59000","0.13267","0.00005"
"272","1.59600","0.13315","0.00018"
"273","1.60200","0.13369","0.00031"
"274","1.60800","0.13417","0.00041"
"275","1.61400","0.13471","0.00049"
"276","1.62000","0.13518","0.00069"
"277","1.62600","0.13566","0.00091"
"278","1.63200","0.13620","0.00107"
"279","1.63800","0.13668","0.00108"
"280","1.64400","0.13716","0.00105"
"281","1.65000","0.13770","0.00103"
"282","1.65600","0.13817","0.00101"
"283","1.66200","0.13871","0.00099"
"284","1.66800","0.13919","0.00103"
"285","1.67400","0.13973","0.00096"
"286","1.68000","0.14021","0.00082"
"287","1.68600","0.14068","0.00062"
"288","1.69200","0.14122","0.00052"
"289","1.69800","0.14170","0.00051"
"290","1.70400","0.14218","0.00044"
"291","1.71000","0.14272","0.00052"
"292","1.71600","0.14320","0.00070"
"293","1.72200","0.14373","0.00082"
"294","1.72800","0.14421","0.00092"
"295","1.73400","0.14469","0.00094"
"296","1.74000","0.14523","0.00080"
"297","1.74600","0.14571","0.00063"
"298","1.75200","0.14625","0.00049"
"299","1.75800","0.14672","0.00046"
"300","1.76400","0.14720","0.00039"
"301","1.77000","0.14774","0.00028"
"302","1.77600","0.14822","0.00021"
"303","1.78200","0.14870","0.00029"
"304","1.78800","0.14917","0.00035"
"305","1.79400","0.14971","0.00036"
"306","1.80000","0.15019","0.00027"
"307","1.80600","0.15073","0.00023"
"308","1.81200","0.15121","0.00019"
"309","1.81800","0.15169","0.00015"
"310","1.82400","0.15222","0.00016"
"311","1.83000","0.15270","0.00019"
"312","1.83600","0.15318","0.00018"
"313","1.84200","0.15366","0.00017"
"314","1.84800","0.15420","0.00015"
"315","1.85400","0.15468","0.00010"
"316","1.86000","0.15515","-0.00004"
"317","1.86600","0.15569","-0.00020"
"318","1.87200","0.15617","-0.00021"
"319","1.87800","0.15665","-0.00004"
"320","1.88400","0.15719","0.00013"
"321","1.89000","0.15766","0.00032"
"322","1.89600","0.15820","0.00041"
"323","1.90200","0.15868","0.00046"
"324","1.90800","0.15916","0.00042"
"325","1.91400","0.15970","0.00049"
"326","1.92000","0.16018","0.00045"
"327","1.92600","0.16065","0.00049"
"328","1.93200","0.16119","0.00049"
"329","1.93800","0.16167","0.00049"
"330","1.94400","0.16215","0.00050"
"331","1.95000","0.16269","0.00046"
"332","1.95600","0.16317","0.00036"
"333","1.96200","0.16364","0.00035"
"334","1.96800","0.16418","0.00045"
"335","1.97400","0.16466","0.00060"
"336","1.98000","0.16514","0.00077"
"337","1.98600","0.16562","0.00081"
"338","1.99200","0.16616","0.00070"
"339","1.99800","0.16663","0.00056"
"340","2.00400","0.16711","0.00041"
"341","2.01000","0.16765","0.00028"
"342","2.01600","0.16813","0.00029"
"343","2.02200","0.16867","0.00035"
"344","2.02800","0.16914","0.00043"
"345","2.03400","0.16962","0.00048"
"346","2.04000","0.17016","0.00053"
"347","2.04600","0.17064","0.00050"
"348","2.05200","0.17118","0.00044"
"349","2.05800","0.17166","0.00055"
"350","2.06400","0.17213","0.00064"
"351","2.07000","0.17267","0.00060"
"352","2.07600","0.17315","0.00051"
"353","2.08200","0.17369","0.00055"
"354","2.08800","0.17417","0.00069"
"355","2.09400","0.17465","0.00088"
"356","2.10000","0.17512","0.00104"
"357","2.10600","0.17566","0.00112"
"358","2.11200","0.17614","0.00109"
"359","2.11800","0.17662","0.00100"
"360","2.12400","0.17716","0.00105"
"361","2.13000","0.17763","0.00113"
"362","2.13600","0.17811","0.00113"
"363","2.14200","0.17865","0.00106"
"364","2.14800","0.17913","0.00096"
"365","2.15400","0.17967","0.00092"
"366","2.16000","0.18021","0.00091"
"367","2.16600","0.18068","0.00091"
"368","2.17200","0.18116","0.00085"
"369","2.17800","0.18170","0.00077"
"370","2.18400","0.18218","0.00067"
"371","2.19000","0.18266","0.00064"
"372","2.19600","0.18320","0.00066"
"373","2.20200","0.18367","0.00062"
"374","2.20800","0.18415","0.00044"
"375","2.21400","0.18469","0.00021"
"376","2.22000","0.18517","0.00008"
"377","2.22600","0.18571","0.00007"
"378","2.23200","0.18618","0.00021"
"379","2.23800","0.18672","0.00035"
"380","2.24400","0.18720","0.00045"
"381","2.25000","0.18768","0.00038"
"382","2.25600","0.18822","0.00032"
"383","2.26200","0.18870","0.00041"
"384","2.26800","0.18923","0.00050"
"385","2.27400","0.18971","0.00057"
"386","2.28000","0.19019","0.00082"
"387","2.28600","0.19073","0.00097"
"388","2.29200","0.19127","0.00093"
"389","2.29800","0.19175","0.00080"
"390","2.30400","0.19228","0.00070"
"391","2.31000","0.19276","0.00059"
"392","2.31600","0.19324","0.00047"
"393","2.32200","0.19378","0.00040"
"394","2.32800","0.19426","0.00030"
"395","2.33400","0.19473","0.00019"
"396","2.34000","0.19521","0.00012"
"397","2.34600","0.19569","0.00008"
"398","2.35200","0.19623","0.00014"
"399","2.35800","0.19671","0.00035"
"400","2.36400","0.19725","0.00049"
"401","2.37000","0.19772","0.00054"
"402","2.37600","0.19826","0.00063"
"403","2.38200","0.19874","0.00074"
"404","2.38800","0.19922","0.00065"
"405","2.39400","0.19976","0.00056"
"406","2.40000","0.20024","0.00054"
"407","2.40600","0.20071","0.00052"
"408","2.41200","0.20125","0.00055"
"409","2.41800","0.20173","0.00065"
"410","2.42400","0.20221","0.00070"
"411","2.43000","0.20275","0.00073"
"412","2.43600","0.20322","0.00073"
"413","2.44200","0.20376","0.00071"
"414","2.44800","0.20424","0.00071"
"415","2.45400","0.20478","0.00067"
"416","2.46000","0.20526","0.00064"
"417","2.46600","0.20574","0.00062"
"418","2.47200","0.20621","0.00050"
"419","2.47800","0.20669","0.00048"
"420","2.48400","0.20723","0.00049"
"421","2.49000","0.20771","0.00053"
"422","2.49600","0.20819","0.00062"
"423","2.50200","0.20867","0.00065"
"424","2.50800","0.20914","0.00063"
"425","2.51400","0.20968","0.00069"
"426","2.52000","0.21016","0.00082"
"427","2.52600","0.21064","0.00091"
"428","2.53200","0.21118","0.00095"
"429","2.53800","0.21165","0.00086"
"430","2.54400","0.21219","0.00070"
"431","2.55000","0.21267","0.00053"
"432","2.55600","0.21315","0.00037"
"433","2.56200","0.21369","0.00018"
"434","2.56800","0.21417","0.00000"
"435","2.57400","0.21470","-0.00012"
"436","2.58000","0.21518","-0.00012"
"437","2.58600","0.21572","0.00008"
"438","2.59200","0.21620","0.00035"
"439","2.59800","0.21674","0.00067"
"440","2.60400","0.21722","0.00066"
"441","2.61000","0.21769","0.00048"
"442","2.61600","0.21817","0.00024"
"443","2.62200","0.21871","0.00015"
"444","2.62800","0.21919","0.00018"
"445","2.63400","0.21967","0.00033"
"446","2.64000","0.22015","0.00052"
"447","2.64600","0.22062","0.00061"
"448","2.65200","0.22116","0.00065"
"449","2.65800","0.22164","0.00073"
"450","2.66400","0.22212","0.00070"
"451","2.67000","0.22266","0.00057"
"452","2.67600","0.22313","0.00051"
"453","2.68200","0.22367","0.00048"
"454","2.68800","0.22415","0.00042"
"455","2.69400","0.22469","0.00045"
"456","2.70000","0.22517","0.00049"
"457","2.70600","0.22571","0.00053"
"458","2.71200","0.22618","0.00063"
"459","2.71800","0.22672","0.00080"
"460","2.72400","0.22720","0.00082"
"461","2.73000","0.22774","0.00063"
"462","2.73600","0.22822","0.00043"
"463","2.74200","0.22875","0.00034"
"464","2.74800","0.22923","0.00030"
"465","2.75400","0.22971","0.00028"
"466","2.76000","0.23025","0.00036"
"467","2.76600","0.23073","0.00042"
"468","2.77200","0.23121","0.00048"
"469","2.77800","0.23174","0.00045"
"470","2.78400","0.23222","0.00044"
"471","2.79000","0.23270","0.00038"
"472","2.79600","0.23318","0.00039"
"473","2.80200","0.23372","0.00054"
"474","2.80800","0.23420","0.00074"
"475","2.81400","0.23473","0.00086"
"476","2.82000","0.23521","0.00081"
"477","2.82600","0.23569","0.00077"
"478","2.83200","0.23623","0.00078"
"479","2.83800","0.23671","0.00067"
"480","2.84400","0.23724","0.00058"
"481","2.85000","0.23772","0.00056"
"482","2.85600","0.23826","0.00048"
"483","2.86200","0.23874","0.00043"
"484","2.86800","0.23922","0.00055"
"485","2.87400","0.23976","0.00084"
"486","2.88000","0.24023","0.00097"
"487","2.88600","0.24077","0.00097"
"488","2.89200","0.24125","0.00096"
"489","2.89800","0.24173","0.00090"
"490","2.90400","0.24221","0.00080"
"491","2.91000","0.24275","0.00079"
"492","2.91600","0.24322","0.00083"
"493","2.92200","0.24370","0.00077"
"494","2.92800","0.24418","0.00055"
"495","2.93400","0.24472","0.00042"
"496","2.94000","0.24520","0.00045"
"497","2.94600","0.24573","0.00056"
"498","2.95200","0.24621","0.00071"
"499","2.95800","0.24675","0.00078"
"500","2.96400","0.24723","0.00084"
"501","2.97000","0.24777","0.00077"
"502","2.97600","0.24825","0.00062"
"503","2.98200","0.24872","0.00054"
"504","2.98800","0.24926","0.00059"
"505","2.99400","0.24974","0.00055"
"506","3.00000","0.25022","0.00050"
"507","3.00600","0.25076","0.00044"
"508","3.01200","0.25124","0.00044"
"509","3.01800","0.25177","0.00044"
"510","3.02400","0.25225","0.00055"
"511","3.03000","0.25273","0.00065"
"512","3.03600","0.25321","0.00059"
"513","3.04200","0.25375","0.00048"
"514","3.04800","0.25423","0.00053"
"515","3.05400","0.25470","0.00062"
"516","3.06000","0.25518","0.00080"
"517","3.06600","0.25572","0.00102"
"518","3.07200","0.25620","0.00116"
"519","3.07800","0.25668","0.00120"
"520","3.08400","0.25721","0.00114"
"521","3.09000","0.25769","0.00098"
"522","3.09600","0.25817","0.00087"
"523","3.10200","0.25865","0.00082"
"524","3.10800","0.25919","0.00089"
"525","3.11400","0.25967","0.00096"
"526","3.12000","0.26014","0.00088"
"527","3.12600","0.26068","0.00076"
"528","3.13200","0.26116","0.00077"
"529","3.13800","0.26164","0.00076"
"530","3.14400","0.26218","0.00077"
"531","3.15000","0.26266","0.00087"
"532","3.15600","0.26319","0.00092"
"533","3.16200","0.26367","0.00091"
"534","3.16800","0.26415","0.00084"
"535","3.17400","0.26469","0.00078"
"536","3.18000","0.26517","0.00077"
"537","3.18600","0.26570","0.00080"
"538","3.19200","0.26618","0.00077"
"539","3.19800","0.26666","0.00068"
"540","3.20400","0.26720","0.00066"
"541","3.21000","0.26768","0.00069"
"542","3.21600","0.26816","0.00069"
"543","3.22200","0.26863","0.00068"
"544","3.22800","0.26917","0.00064"
"545","3.23400","0.26965","0.00054"
"546","3.24000","0.27019","0.00062"
"547","3.24600","0.27067","0.00079"
"548","3.25200","0.27121","0.00091"
"549","3.25800","0.27168","0.00098"
"550","3.26400","0.27216","0.00114"
"551","3.27000","0.27270","0.00127"
"552","3.27600","0.27318","0.00130"
"553","3.28200","0.27372","0.00119"
"554","3.28800","0.27419","0.00104"
"555","3.29400","0.27467","0.00103"
"556","3.30000","0.27521","0.00109"
"557","3.30600","0.27569","0.00116"
"558","3.31200","0.27623","0.00124"
"559","3.31800","0.27671","0.00129"
"560","3.32400","0.27724","0.00122"
"561","3.33000","0.27772","0.00105"
"562","3.33600","0.27826","0.00081"
"563","3.34200","0.27874","0.00075"
"564","3.34800","0.27928","0.00083"
"565","3.35400","0.27976","0.00087"
"566","3.36000","0.28023","0.00090"
"567","3.36600","0.28077","0.00079"
"568","3.37200","0.28125","0.00063"
"569","3.37800","0.28173","0.00066"
"570","3.38400","0.28221","0.00078"
"571","3.39000","0.28274","0.00077"
"572","3.39600","0.28322","0.00072"
"573","3.40200","0.28370","0.00077"
"574","3.40800","0.28424","0.00085"
"575","3.41400","0.28472","0.00089"
"576","3.42000","0.28520","0.00087"
"577","3.42600","0.28573","0.00088"
"578","3.43200","0.28621","0.00109"
"579","3.43800","0.28675","0.00131"
"580","3.44400","0.28723","0.00123"
"581","3.45000","0.28777","0.00108"
"582","3.45600","0.28825","0.00093"
"583","3.46200","0.28872","0.00080"
"584","3.46800","0.28926","0.00066"
"585","3.47400","0.28974","0.00049"
"586","3.48000","0.29022","0.00041"
"587","3.48600","0.29070","0.00040"
"588","3.49200","0.29123","0.00037"
"589","3.49800","0.29171","0.00044"
"590","3.50400","0.29219","0.00070"
"591","3.51000","0.29273","0.00108"
"592","3.51600","0.29321","0.00141"
"593","3.52200","0.29369","0.00145"
"594","3.52800","0.29422","0.00138"
"595","3.53400","0.29470","0.00130"
"596","3.54000","0.29518","0.00124"
"597","3.54600","0.29572","0.00117"
"598","3.55200","0.29620","0.00099"
"599","3.55800","0.29668","0.00090"
"600","3.56400","0.29721","0.00084"
"601","3.57000","0.29769","0.00076"
"602","3.57600","0.29823","0.00069"
"603","3.58200","0.29871","0.00051"
"604","3.58800","0.29925","0.00043"
"605","3.59400","0.29972","0.00054"
"606","3.60000","0.30026","0.00067"
"607","3.60600","0.30074","0.00080"
"608","3.61200","0.30122","0.00086"
"609","3.61800","0.30170","0.00077"
"610","3.62400","0.30224","0.00059"
"611","3.63000","0.30271","0.00049"
"612","3.63600","0.30319","0.00038"
"613","3.64200","0.30367","0.00040"
"614","3.64800","0.30415","0.00049"
"615","3.65400","0.30469","0.00058"
"616","3.66000","0.30517","0.00063"
"617","3.66600","0.30564","0.00075"
"618","3.67200","0.30612","0.00077"
"619","3.67800","0.30666","0.00073"
"620","3.68400","0.30714","0.00070"
"621","3.69000","0.30762","0.00058"
"622","3.69600","0.30816","0.00052"
"623","3.70200","0.30863","0.00045"
"624","3.70800","0.30911","0.00043"
"625","3.71400","0.30965","0.00040"
"626","3.72000","0.31013","0.00042"
"627","3.72600","0.31067","0.00051"
"628","3.73200","0.31114","0.00078"
"629","3.73800","0.31168","0.00099"
"630","3.74400","0.31216","0.00104"
"631","3.75000","0.31270","0.00097"
"632","3.75600","0.31318","0.00091"
"633","3.76200","0.31372","0.00084"
"634","3.76800","0.31419","0.00094"
"635","3.77400","0.31467","0.00106"
"636","3.78000","0.31521","0.00105"
"637","3.78600","0.31569","0.00088"
"638","3.79200","0.31617","0.00081"
"639","3.79800","0.31671","0.00069"
"640","3.80400","0.31718","0.00054"
"641","3.81000","0.31766","0.00056"
"642","3.81600","0.31820","0.00072"
"643","3.82200","0.31868","0.00078"
"644","3.82800","0.31922","0.00082"
"645","3.83400","0.31969","0.00083"
"646","3.84000","0.32017","0.00068"
"647","3.84600","0.32071","0.00054"
"648","3.85200","0.32119","0.00047"
"649","3.85800","0.32173","0.00042"
"650","3.86400","0.32227","0.00035"
"651","3.87000","0.32274","0.00028"
"652","3.87600","0.32328","0.00025"
"653","3.88200","0.32376","0.00029"
"654","3.88800","0.32430","0.00035"
"655","3.89400","0.32478","0.00046"
"656","3.90000","0.32526","0.00058"
"657","3.90600","0.32579","0.00070"
"658","3.91200","0.32627","0.00079"
"659","3.91800","0.32675","0.00081"
"660","3.92400","0.32723","0.00077"
"661","3.93000","0.32777","0.00073"
"662","3.93600","0.32824","0.00071"
"663","3.94200","0.32872","0.00062"
"664","3.94800","0.32920","0.00067"
"665","3.95400","0.32968","0.00067"
"666","3.96000","0.33016","0.00073"
"667","3.96600","0.33070","0.00074"
"668","3.97200","0.33117","0.00073"
"669","3.97800","0.33171","0.00075"
"670","3.98400","0.33219","0.00082"
"671","3.99000","0.33273","0.00095"
"672","3.99600","0.33321","0.00088"
"673","4.00200","0.33375","0.00068"
"674","4.00800","0.33422","0.00050"
"675","4.01400","0.33476","0.00043"
"676","4.02000","0.33524","0.00048"
"677","4.02600","0.33572","0.00053"
"678","4.03200","0.33626","0.00055"
"679","4.03800","0.33673","0.00079"
"680","4.04400","0.33721","0.00100"
"681","4.05000","0.33769","0.00116"
"682","4.05600","0.33823","0.00133"
"683","4.06200","0.33871","0.00146"
"684","4.06800","0.33919","0.00157"
"685","4.07400","0.33966","0.00168"
"686","4.08000","0.34014","0.00177"
"687","4.08600","0.34068","0.00169"
"688","4.09200","0.34116","0.00168"
"689","4.09800","0.34164","0.00164"
"690","4.10400","0.34218","0.00163"
"691","4.11000","0.34265","0.00161"
"692","4.11600","0.34313","0.00160"
"693","4.12200","0.34367","0.00143"
"694","4.12800","0.34415","0.00116"
"695","4.13400","0.34463","0.00105"
"696","4.14000","0.34516","0.00100"
"697","4.14600","0.34564","0.00102"
"698","4.15200","0.34618","0.00099"
"699","4.15800","0.34666","0.00105"
"700","4.16400","0.34720","0.00100"
"701","4.17000","0.34768","0.00105"
"702","4.17600","0.34821","0.00107"
"703","4.18200","0.34869","0.00101"
"704","4.18800","0.34917","0.00088"
"705","4.19400","0.34971","0.00078"
"706","4.20000","0.35019","0.00069"
"707","4.20600","0.35067","0.00064"
"708","4.21200","0.35114","0.00055"
"709","4.21800","0.35168","0.00052"
"710","4.22400","0.35216","0.00056"
"711","4.23000","0.35264","0.00056"
"712","4.23600","0.35312","0.00053"
"713","4.24200","0.35366","0.00062"
"714","4.24800","0.35413","0.00060"
"715","4.25400","0.35461","0.00048"
"716","4.26000","0.35515","0.00050"
"717","4.26600","0.35563","0.00058"
"718","4.27200","0.35611","0.00061"
"719","4.27800","0.35664","0.00060"
"720","4.28400","0.35712","0.00064"
"721","4.29000","0.35766","0.00074"
"722","4.29600","0.35820","0.00070"
"723","4.30200","0.35868","0.00067"
"724","4.30800","0.35922","0.00075"
"725","4.31400","0.35969","0.00093"
"726","4.32000","0.36023","0.00093"
"727","4.32600","0.36071","0.00085"
"728","4.33200","0.36119","0.00085"
"729","4.33800","0.36173","0.00076"
"730","4.34400","0.36220","0.00065"
"731","4.35000","0.36268","0.00062"
"732","4.35600","0.36316","0.00067"
"733","4.36200","0.36370","0.00074"
