End date,"1/8/2017"
Specimen label,"20CG_57"
"0.85200","0.07127","0.00114"
"0.85800","0.07175","0.00135"
"0.86400","0.07223","0.00146"
"0.87000","0.07276","0.00142"
"0.87600","0.07324","0.00125"
"0.88200","0.07372","0.00122"
"0.88800","0.07420","0.00128"
"0.89400","0.07474","0.00125"
"0.90000","0.07522","0.00118"
"0.90600","0.07575","0.00116"
"0.91200","0.07623","0.00110"
"0.91800","0.07671","0.00100"
"0.92400","0.07725","0.00097"
"0.93000","0.07773","0.00105"
"0.93600","0.07820","0.00129"
"0.94200","0.07874","0.00145"
"0.94800","0.07922","0.00150"
"0.95400","0.07970","0.00154"
"0.96000","0.08024","0.00150"
"0.96600","0.08072","0.00135"
"0.97200","0.08119","0.00130"
"0.97800","0.08173","0.00132"
"0.98400","0.08221","0.00134"
"0.99000","0.08269","0.00130"
"0.99600","0.08323","0.00123"
"1.00200","0.08371","0.00116"
"1.00800","0.08424","0.00113"
"1.01400","0.08472","0.00121"
"1.02000","0.08520","0.00128"
"1.02600","0.08574","0.00128"
"1.03200","0.08622","0.00119"
"1.03800","0.08669","0.00115"
"1.04400","0.08723","0.00111"
"1.05000","0.08771","0.00108"
"1.05600","0.08825","0.00111"
"1.06200","0.08873","0.00118"
"1.06800","0.08927","0.00137"
"1.07400","0.08974","0.00146"
"1.08000","0.09022","0.00149"
"1.08600","0.09070","0.00166"
"1.09200","0.09124","0.00167"
"1.09800","0.09172","0.00162"
"1.10400","0.09220","0.00159"
"1.11000","0.09273","0.00156"
"1.11600","0.09321","0.00150"
"1.12200","0.09369","0.00145"
"1.12800","0.09423","0.00146"
"1.13400","0.09471","0.00145"
"1.14000","0.09518","0.00146"
"1.14600","0.09572","0.00155"
"1.15200","0.09620","0.00169"
"1.15800","0.09668","0.00170"
"1.16400","0.09716","0.00163"
"1.17000","0.09770","0.00158"
"1.17600","0.09817","0.00155"
"1.18200","0.09865","0.00157"
"1.18800","0.09919","0.00168"
"1.19400","0.09967","0.00173"
"1.20000","0.10021","0.00171"
"1.20600","0.10075","0.00165"
"1.21200","0.10122","0.00170"
"1.21800","0.10170","0.00176"
"1.22400","0.10224","0.00179"
"1.23000","0.10272","0.00173"
"1.23600","0.10320","0.00165"
"1.24200","0.10373","0.00146"
"1.24800","0.10421","0.00124"
"1.25400","0.10469","0.00124"
"1.26000","0.10523","0.00137"
"1.26600","0.10571","0.00140"
"1.27200","0.10625","0.00128"
"1.27800","0.10672","0.00122"
"1.28400","0.10720","0.00124"
"1.29000","0.10774","0.00130"
"1.29600","0.10822","0.00127"
"1.30200","0.10876","0.00128"
"1.30800","0.10924","0.00127"
"1.31400","0.10971","0.00128"
"1.32000","0.11025","0.00137"
"1.32600","0.11073","0.00136"
"1.33200","0.11127","0.00143"
"1.33800","0.11175","0.00161"
"1.34400","0.11228","0.00165"
"1.35000","0.11276","0.00162"
"1.35600","0.11330","0.00161"
"1.36200","0.11378","0.00158"
"1.36800","0.11426","0.00165"
"1.37400","0.11474","0.00173"
"1.38000","0.11527","0.00182"
"1.38600","0.11575","0.00185"
"1.39200","0.11623","0.00176"
"1.39800","0.11671","0.00176"
"1.40400","0.11719","0.00180"
"1.41000","0.11773","0.00172"
"1.41600","0.11820","0.00161"
"1.42200","0.11868","0.00153"
"1.42800","0.11922","0.00151"
"1.43400","0.11970","0.00159"
"1.44000","0.12024","0.00158"
"1.44600","0.12072","0.00155"
"1.45200","0.12125","0.00154"
"1.45800","0.12173","0.00162"
"1.46400","0.12227","0.00170"
"1.47000","0.12275","0.00180"
"1.47600","0.12329","0.00184"
"1.48200","0.12376","0.00191"
"1.48800","0.12424","0.00194"
"1.49400","0.12478","0.00195"
"1.50000","0.12526","0.00195"
"1.50600","0.12580","0.00197"
"1.51200","0.12628","0.00202"
"1.51800","0.12675","0.00206"
"1.52400","0.12729","0.00200"
"1.53000","0.12777","0.00192"
"1.53600","0.12825","0.00206"
"1.54200","0.12873","0.00216"
"1.54800","0.12926","0.00212"
"1.55400","0.12974","0.00214"
"1.56000","0.13022","0.00207"
"1.56600","0.13070","0.00193"
"1.57200","0.13118","0.00191"
"1.57800","0.13172","0.00198"
"1.58400","0.13219","0.00205"
"1.59000","0.13267","0.00214"
"1.59600","0.13321","0.00221"
"1.60200","0.13369","0.00230"
"1.60800","0.13417","0.00239"
"1.61400","0.13471","0.00253"
"1.62000","0.13518","0.00269"
"1.62600","0.13572","0.00270"
"1.63200","0.13620","0.00265"
"1.63800","0.13674","0.00256"
"1.64400","0.13722","0.00240"
"1.65000","0.13776","0.00217"
"1.65600","0.13823","0.00207"
"1.66200","0.13871","0.00202"
"1.66800","0.13919","0.00201"
"1.67400","0.13967","0.00207"
"1.68000","0.14021","0.00211"
"1.68600","0.14068","0.00218"
"1.69200","0.14116","0.00219"
"1.69800","0.14164","0.00216"
"1.70400","0.14218","0.00214"
"1.71000","0.14266","0.00211"
"1.71600","0.14314","0.00213"
"1.72200","0.14367","0.00216"
"1.72800","0.14415","0.00217"
"1.73400","0.14463","0.00233"
"1.74000","0.14517","0.00238"
"1.74600","0.14565","0.00237"
"1.75200","0.14619","0.00242"
"1.75800","0.14672","0.00242"
"1.76400","0.14720","0.00248"
"1.77000","0.14774","0.00261"
"1.77600","0.14822","0.00268"
"1.78200","0.14876","0.00266"
"1.78800","0.14923","0.00257"
"1.79400","0.14977","0.00233"
"1.80000","0.15025","0.00211"
"1.80600","0.15073","0.00195"
"1.81200","0.15127","0.00179"
"1.81800","0.15175","0.00178"
"1.82400","0.15222","0.00171"
"1.83000","0.15270","0.00164"
"1.83600","0.15324","0.00173"
"1.84200","0.15372","0.00175"
"1.84800","0.15426","0.00169"
"1.85400","0.15474","0.00182"
"1.86000","0.15527","0.00196"
"1.86600","0.15575","0.00207"
"1.87200","0.15623","0.00210"
"1.87800","0.15677","0.00200"
"1.88400","0.15725","0.00183"
"1.89000","0.15778","0.00168"
"1.89600","0.15826","0.00168"
"1.90200","0.15874","0.00174"
"1.90800","0.15928","0.00180"
"1.91400","0.15976","0.00190"
"1.92000","0.16030","0.00204"
"1.92600","0.16077","0.00211"
"1.93200","0.16131","0.00211"
"1.93800","0.16179","0.00208"
"1.94400","0.16227","0.00202"
"1.95000","0.16281","0.00208"
"1.95600","0.16329","0.00219"
"1.96200","0.16376","0.00223"
"1.96800","0.16424","0.00235"
"1.97400","0.16478","0.00236"
"1.98000","0.16526","0.00231"
"1.98600","0.16574","0.00233"
"1.99200","0.16627","0.00242"
"1.99800","0.16675","0.00261"
"2.00400","0.16723","0.00284"
"2.01000","0.16771","0.00294"
"2.01600","0.16825","0.00306"
"2.02200","0.16873","0.00303"
"2.02800","0.16920","0.00290"
"2.03400","0.16974","0.00278"
"2.04000","0.17022","0.00256"
"2.04600","0.17076","0.00234"
"2.05200","0.17124","0.00224"
"2.05800","0.17178","0.00210"
"2.06400","0.17225","0.00203"
"2.07000","0.17279","0.00210"
"2.07600","0.17327","0.00211"
"2.08200","0.17375","0.00215"
"2.08800","0.17429","0.00219"
"2.09400","0.17476","0.00218"
"2.10000","0.17524","0.00218"
"2.10600","0.17572","0.00212"
"2.11200","0.17620","0.00207"
"2.11800","0.17674","0.00204"
"2.12400","0.17722","0.00205"
"2.13000","0.17769","0.00207"
"2.13600","0.17817","0.00221"
"2.14200","0.17871","0.00232"
"2.14800","0.17919","0.00248"
"2.15400","0.17967","0.00270"
"2.16000","0.18021","0.00285"
"2.16600","0.18068","0.00280"
"2.17200","0.18122","0.00276"
"2.17800","0.18170","0.00269"
"2.18400","0.18218","0.00256"
"2.19000","0.18272","0.00238"
"2.19600","0.18320","0.00223"
"2.20200","0.18373","0.00216"
"2.20800","0.18421","0.00216"
"2.21400","0.18469","0.00211"
"2.22000","0.18523","0.00207"
"2.22600","0.18571","0.00209"
"2.23200","0.18618","0.00219"
"2.23800","0.18672","0.00227"
"2.24400","0.18720","0.00233"
"2.25000","0.18768","0.00232"
"2.25600","0.18816","0.00234"
"2.26200","0.18870","0.00240"
"2.26800","0.18917","0.00252"
"2.27400","0.18965","0.00257"
"2.28000","0.19019","0.00257"
"2.28600","0.19067","0.00259"
"2.29200","0.19115","0.00261"
"2.29800","0.19169","0.00250"
"2.30400","0.19216","0.00249"
"2.31000","0.19270","0.00253"
"2.31600","0.19318","0.00253"
"2.32200","0.19366","0.00253"
"2.32800","0.19420","0.00251"
"2.33400","0.19467","0.00248"
"2.34000","0.19521","0.00247"
"2.34600","0.19569","0.00240"
"2.35200","0.19623","0.00243"
"2.35800","0.19671","0.00243"
"2.36400","0.19725","0.00228"
"2.37000","0.19772","0.00227"
"2.37600","0.19826","0.00231"
"2.38200","0.19874","0.00245"
"2.38800","0.19922","0.00256"
"2.39400","0.19976","0.00251"
"2.40000","0.20024","0.00257"
"2.40600","0.20071","0.00263"
"2.41200","0.20125","0.00274"
"2.41800","0.20173","0.00266"
"2.42400","0.20221","0.00243"
"2.43000","0.20275","0.00224"
"2.43600","0.20322","0.00231"
"2.44200","0.20370","0.00247"
"2.44800","0.20418","0.00263"
"2.45400","0.20472","0.00277"
"2.46000","0.20520","0.00280"
"2.46600","0.20568","0.00282"
"2.47200","0.20621","0.00280"
"2.47800","0.20669","0.00271"
"2.48400","0.20723","0.00268"
"2.49000","0.20771","0.00268"
"2.49600","0.20825","0.00265"
"2.50200","0.20873","0.00285"
"2.50800","0.20926","0.00304"
"2.51400","0.20974","0.00309"
"2.52000","0.21028","0.00312"
"2.52600","0.21076","0.00297"
"2.53200","0.21124","0.00283"
"2.53800","0.21171","0.00272"
"2.54400","0.21225","0.00255"
"2.55000","0.21273","0.00237"
"2.55600","0.21321","0.00233"
"2.56200","0.21375","0.00246"
"2.56800","0.21423","0.00261"
"2.57400","0.21470","0.00265"
"2.58000","0.21518","0.00265"
"2.58600","0.21572","0.00266"
"2.59200","0.21620","0.00258"
"2.59800","0.21668","0.00259"
"2.60400","0.21722","0.00265"
"2.61000","0.21769","0.00270"
"2.61600","0.21817","0.00274"
"2.62200","0.21871","0.00280"
"2.62800","0.21919","0.00273"
"2.63400","0.21973","0.00272"
"2.64000","0.22020","0.00264"
"2.64600","0.22074","0.00258"
"2.65200","0.22122","0.00265"
"2.65800","0.22170","0.00269"
"2.66400","0.22224","0.00269"
"2.67000","0.22272","0.00269"
"2.67600","0.22319","0.00280"
"2.68200","0.22367","0.00291"
"2.68800","0.22421","0.00300"
"2.69400","0.22469","0.00303"
"2.70000","0.22517","0.00308"
"2.70600","0.22571","0.00303"
"2.71200","0.22618","0.00305"
"2.71800","0.22666","0.00306"
"2.72400","0.22714","0.00304"
"2.73000","0.22768","0.00299"
"2.73600","0.22816","0.00296"
"2.74200","0.22869","0.00284"
"2.74800","0.22917","0.00270"
"2.75400","0.22965","0.00267"
"2.76000","0.23019","0.00263"
"2.76600","0.23067","0.00261"
"2.77200","0.23121","0.00266"
"2.77800","0.23168","0.00271"
"2.78400","0.23222","0.00281"
"2.79000","0.23270","0.00290"
"2.79600","0.23318","0.00288"
"2.80200","0.23372","0.00288"
"2.80800","0.23420","0.00297"
"2.81400","0.23473","0.00302"
"2.82000","0.23521","0.00304"
"2.82600","0.23569","0.00299"
"2.83200","0.23623","0.00287"
"2.83800","0.23671","0.00281"
"2.84400","0.23719","0.00288"
"2.85000","0.23772","0.00296"
"2.85600","0.23820","0.00301"
"2.86200","0.23868","0.00308"
"2.86800","0.23916","0.00320"
"2.87400","0.23970","0.00334"
"2.88000","0.24017","0.00330"
"2.88600","0.24065","0.00325"
"2.89200","0.24119","0.00328"
"2.89800","0.24167","0.00327"
"2.90400","0.24221","0.00325"
"2.91000","0.24269","0.00322"
"2.91600","0.24316","0.00305"
"2.92200","0.24370","0.00291"
"2.92800","0.24418","0.00293"
"2.93400","0.24472","0.00303"
"2.94000","0.24520","0.00315"
"2.94600","0.24573","0.00323"
"2.95200","0.24621","0.00334"
"2.95800","0.24675","0.00344"
"2.96400","0.24723","0.00341"
"2.97000","0.24771","0.00327"
"2.97600","0.24819","0.00307"
"2.98200","0.24872","0.00285"
"2.98800","0.24920","0.00266"
"2.99400","0.24974","0.00253"
"3.00000","0.25022","0.00246"
"3.00600","0.25070","0.00245"
"3.01200","0.25124","0.00236"
"3.01800","0.25171","0.00234"
"3.02400","0.25225","0.00237"
"3.03000","0.25273","0.00244"
"3.03600","0.25327","0.00251"
"3.04200","0.25375","0.00254"
"3.04800","0.25428","0.00256"
"3.05400","0.25476","0.00275"
"3.06000","0.25530","0.00295"
"3.06600","0.25578","0.00307"
"3.07200","0.25626","0.00321"
"3.07800","0.25680","0.00324"
"3.08400","0.25727","0.00327"
"3.09000","0.25775","0.00326"
"3.09600","0.25823","0.00324"
"3.10200","0.25877","0.00322"
"3.10800","0.25925","0.00317"
"3.11400","0.25973","0.00315"
"3.12000","0.26020","0.00312"
"3.12600","0.26074","0.00315"
"3.13200","0.26122","0.00314"
"3.13800","0.26176","0.00313"
"3.14400","0.26224","0.00315"
"3.15000","0.26272","0.00312"
"3.15600","0.26319","0.00300"
"3.16200","0.26373","0.00290"
"3.16800","0.26421","0.00291"
"3.17400","0.26469","0.00296"
"3.18000","0.26517","0.00310"
"3.18600","0.26570","0.00319"
"3.19200","0.26618","0.00328"
"3.19800","0.26672","0.00329"
"3.20400","0.26720","0.00324"
"3.21000","0.26768","0.00324"
"3.21600","0.26822","0.00332"
"3.22200","0.26869","0.00331"
"3.22800","0.26917","0.00316"
"3.23400","0.26965","0.00308"
"3.24000","0.27019","0.00302"
"3.24600","0.27067","0.00292"
"3.25200","0.27121","0.00289"
"3.25800","0.27168","0.00283"
"3.26400","0.27216","0.00281"
"3.27000","0.27270","0.00277"
"3.27600","0.27318","0.00272"
"3.28200","0.27366","0.00265"
"3.28800","0.27413","0.00253"
"3.29400","0.27467","0.00251"
"3.30000","0.27515","0.00269"
"3.30600","0.27563","0.00287"
"3.31200","0.27617","0.00287"
"3.31800","0.27665","0.00287"
"3.32400","0.27712","0.00281"
"3.33000","0.27766","0.00278"
"3.33600","0.27814","0.00281"
"3.34200","0.27868","0.00279"
"3.34800","0.27916","0.00280"
"3.35400","0.27970","0.00289"
"3.36000","0.28017","0.00295"
"3.36600","0.28071","0.00298"
"3.37200","0.28119","0.00302"
"3.37800","0.28173","0.00302"
"3.38400","0.28221","0.00308"
"3.39000","0.28268","0.00305"
"3.39600","0.28322","0.00287"
"3.40200","0.28370","0.00284"
"3.40800","0.28418","0.00290"
"3.41400","0.28472","0.00307"
"3.42000","0.28520","0.00324"
"3.42600","0.28573","0.00328"
"3.43200","0.28621","0.00328"
"3.43800","0.28675","0.00321"
"3.44400","0.28723","0.00324"
"3.45000","0.28771","0.00321"
"3.45600","0.28819","0.00323"
"3.46200","0.28872","0.00330"
"3.46800","0.28920","0.00339"
"3.47400","0.28968","0.00342"
"3.48000","0.29022","0.00343"
"3.48600","0.29070","0.00353"
"3.49200","0.29123","0.00357"
"3.49800","0.29171","0.00344"
"3.50400","0.29219","0.00333"
"3.51000","0.29273","0.00326"
"3.51600","0.29321","0.00327"
"3.52200","0.29369","0.00321"
"3.52800","0.29422","0.00324"
"3.53400","0.29470","0.00328"
"3.54000","0.29518","0.00330"
"3.54600","0.29572","0.00324"
"3.55200","0.29620","0.00328"
"3.55800","0.29674","0.00324"
"3.56400","0.29721","0.00315"
"3.57000","0.29775","0.00310"
"3.57600","0.29823","0.00306"
"3.58200","0.29871","0.00295"
"3.58800","0.29925","0.00279"
"3.59400","0.29972","0.00267"
"3.60000","0.30026","0.00268"
"3.60600","0.30074","0.00277"
"3.61200","0.30122","0.00285"
"3.61800","0.30176","0.00298"
"3.62400","0.30224","0.00311"
"3.63000","0.30277","0.00308"
"3.63600","0.30325","0.00304"
"3.64200","0.30373","0.00308"
"3.64800","0.30427","0.00325"
"3.65400","0.30475","0.00340"
"3.66000","0.30523","0.00343"
"3.66600","0.30576","0.00344"
"3.67200","0.30624","0.00339"
"3.67800","0.30672","0.00334"
"3.68400","0.30726","0.00337"
"3.69000","0.30774","0.00336"
"3.69600","0.30822","0.00327"
"3.70200","0.30875","0.00321"
"3.70800","0.30923","0.00323"
"3.71400","0.30971","0.00320"
"3.72000","0.31019","0.00315"
"3.72600","0.31073","0.00308"
"3.73200","0.31120","0.00296"
"3.73800","0.31168","0.00284"
"3.74400","0.31216","0.00268"
"3.75000","0.31270","0.00257"
"3.75600","0.31318","0.00270"
"3.76200","0.31366","0.00288"
"3.76800","0.31419","0.00310"
"3.77400","0.31467","0.00328"
"3.78000","0.31521","0.00330"
"3.78600","0.31569","0.00343"
"3.79200","0.31617","0.00363"
"3.79800","0.31671","0.00369"
"3.80400","0.31718","0.00367"
"3.81000","0.31766","0.00356"
"3.81600","0.31820","0.00342"
"3.82200","0.31868","0.00332"
"3.82800","0.31916","0.00320"
"3.83400","0.31969","0.00326"
"3.84000","0.32017","0.00337"
"3.84600","0.32071","0.00335"
"3.85200","0.32119","0.00331"
"3.85800","0.32167","0.00324"
"3.86400","0.32215","0.00309"
"3.87000","0.32268","0.00305"
"3.87600","0.32316","0.00299"
"3.88200","0.32364","0.00291"
"3.88800","0.32418","0.00286"
"3.89400","0.32466","0.00281"
"3.90000","0.32520","0.00291"
"3.90600","0.32567","0.00313"
"3.91200","0.32621","0.00333"
"3.91800","0.32669","0.00355"
"3.92400","0.32723","0.00368"
"3.93000","0.32771","0.00368"
"3.93600","0.32824","0.00352"
"3.94200","0.32872","0.00325"
"3.94800","0.32920","0.00298"
"3.95400","0.32974","0.00288"
"3.96000","0.33022","0.00293"
"3.96600","0.33070","0.00307"
"3.97200","0.33123","0.00314"
"3.97800","0.33171","0.00311"
"3.98400","0.33225","0.00311"
"3.99000","0.33273","0.00302"
"3.99600","0.33321","0.00287"
"4.00200","0.33375","0.00288"
"4.00800","0.33422","0.00295"
"4.01400","0.33470","0.00312"
"4.02000","0.33524","0.00332"
"4.02600","0.33572","0.00356"
"4.03200","0.33626","0.00374"
"4.03800","0.33673","0.00379"
"4.04400","0.33727","0.00376"
"4.05000","0.33775","0.00364"
"4.05600","0.33829","0.00341"
"4.06200","0.33877","0.00325"
"4.06800","0.33931","0.00332"
"4.07400","0.33978","0.00331"
"4.08000","0.34026","0.00324"
"4.08600","0.34080","0.00337"
"4.09200","0.34128","0.00353"
"4.09800","0.34176","0.00359"
"4.10400","0.34224","0.00360"
"4.11000","0.34277","0.00364"
"4.11600","0.34325","0.00362"
"4.12200","0.34373","0.00351"
"4.12800","0.34421","0.00340"
"4.13400","0.34475","0.00342"
"4.14000","0.34522","0.00338"
"4.14600","0.34576","0.00334"
"4.15200","0.34624","0.00342"
"4.15800","0.34672","0.00355"
"4.16400","0.34720","0.00356"
"4.17000","0.34774","0.00355"
"4.17600","0.34821","0.00356"
"4.18200","0.34869","0.00357"
"4.18800","0.34923","0.00351"
"4.19400","0.34971","0.00349"
"4.20000","0.35025","0.00358"
"4.20600","0.35073","0.00357"
"4.21200","0.35126","0.00343"
"4.21800","0.35174","0.00332"
"4.22400","0.35228","0.00326"
"4.23000","0.35276","0.00316"
"4.23600","0.35324","0.00313"
"4.24200","0.35377","0.00318"
"4.24800","0.35425","0.00321"
"4.25400","0.35473","0.00337"
"4.26000","0.35521","0.00355"
"4.26600","0.35569","0.00368"
"4.27200","0.35617","0.00380"
"4.27800","0.35670","0.00379"
"4.28400","0.35718","0.00389"
"4.29000","0.35766","0.00387"
"4.29600","0.35820","0.00373"
"4.30200","0.35868","0.00345"
"4.30800","0.35916","0.00328"
"4.31400","0.35969","0.00325"
"4.32000","0.36017","0.00327"
"4.32600","0.36065","0.00333"
"4.33200","0.36119","0.00335"
"4.33800","0.36167","0.00333"
"4.34400","0.36220","0.00325"
"4.35000","0.36268","0.00330"
"4.35600","0.36322","0.00342"
"4.36200","0.36370","0.00348"
"4.36800","0.36418","0.00350"
"4.37400","0.36472","0.00353"
"4.38000","0.36519","0.00343"
"4.38600","0.36567","0.00331"
"4.39200","0.36621","0.00330"
"4.39800","0.36669","0.00344"
"4.40400","0.36717","0.00370"
"4.41000","0.36771","0.00387"
"4.41600","0.36818","0.00384"
"4.42200","0.36866","0.00368"
"4.42800","0.36914","0.00344"
"4.43400","0.36968","0.00326"
"4.44000","0.37016","0.00321"
"4.44600","0.37064","0.00326"
"4.45200","0.37117","0.00340"
"4.45800","0.37165","0.00363"
"4.46400","0.37219","0.00370"
"4.47000","0.37267","0.00377"
"4.47600","0.37315","0.00377"
"4.48200","0.37368","0.00378"
"4.48800","0.37416","0.00385"
"4.49400","0.37470","0.00390"
"4.50000","0.37524","0.00394"
"4.50600","0.37572","0.00402"
"4.51200","0.37626","0.00391"
"4.51800","0.37673","0.00381"
"4.52400","0.37721","0.00372"
"4.53000","0.37769","0.00362"
"4.53600","0.37823","0.00359"
"4.54200","0.37871","0.00362"
"4.54800","0.37919","0.00366"
"4.55400","0.37972","0.00367"
"4.56000","0.38020","0.00363"
"4.56600","0.38068","0.00367"
"4.57200","0.38122","0.00375"
"4.57800","0.38170","0.00376"
"4.58400","0.38217","0.00367"
"4.59000","0.38271","0.00363"
"4.59600","0.38319","0.00359"
"4.60200","0.38367","0.00367"
"4.60800","0.38421","0.00369"
"4.61400","0.38469","0.00365"
"4.62000","0.38516","0.00367"
"4.62600","0.38570","0.00359"
"4.63200","0.38618","0.00347"
"4.63800","0.38672","0.00341"
"4.64400","0.38720","0.00337"
"4.65000","0.38774","0.00336"
"4.65600","0.38827","0.00329"
"4.66200","0.38875","0.00322"
"4.66800","0.38929","0.00341"
"4.67400","0.38977","0.00356"
"4.68000","0.39025","0.00364"
"4.68600","0.39078","0.00374"
"4.69200","0.39126","0.00380"
"4.69800","0.39174","0.00383"
"4.70400","0.39228","0.00383"
"4.71000","0.39276","0.00400"
"4.71600","0.39324","0.00423"
"4.72200","0.39377","0.00422"
"4.72800","0.39425","0.00403"
"4.73400","0.39473","0.00393"
"4.74000","0.39527","0.00381"
"4.74600","0.39575","0.00357"
"4.75200","0.39623","0.00344"
"4.75800","0.39676","0.00341"
"4.76400","0.39724","0.00342"
"4.77000","0.39772","0.00337"
"4.77600","0.39820","0.00333"
"4.78200","0.39874","0.00337"
"4.78800","0.39921","0.00353"
"4.79400","0.39975","0.00369"
"4.80000","0.40023","0.00385"
"4.80600","0.40071","0.00394"
"4.81200","0.40125","0.00393"
"4.81800","0.40173","0.00394"
"4.82400","0.40220","0.00396"
"4.83000","0.40268","0.00387"
"4.83600","0.40322","0.00375"
"4.84200","0.40370","0.00371"
"4.84800","0.40418","0.00366"
"4.85400","0.40472","0.00367"
"4.86000","0.40519","0.00362"
"4.86600","0.40567","0.00372"
"4.87200","0.40621","0.00382"
"4.87800","0.40669","0.00378"
"4.88400","0.40717","0.00376"
"4.89000","0.40770","0.00377"
